Reference Angle [degree],Measured Angle [degree] 
360.500000,287.182159
357.500000,288.480927
354.500000,286.743408
351.500000,284.628723
348.500000,282.131317
345.500000,278.909271
342.500000,271.948181
339.500000,265.320557
336.500000,262.591431
333.500000,260.523804
330.500000,258.678070
327.500000,256.584290
324.500000,254.675232
321.500000,252.802612
318.500000,250.221634
315.500000,245.801392
312.500000,235.632797
309.500000,231.723434
306.500000,229.677307
303.500000,227.805862
300.500000,225.944061
297.500000,224.367813
294.500000,222.478455
291.500000,220.621002
288.500000,218.482819
285.500000,215.337326
282.500000,210.232117
279.500000,202.874939
276.500000,200.027771
273.500000,198.017868
270.500000,196.074966
267.500000,194.177551
264.500000,192.366821
261.500000,190.382065
258.500000,188.074646
255.500000,185.141449
252.500000,176.153229
249.500000,170.129349
246.500000,167.655701
243.500000,165.578552
240.500000,163.888962
237.500000,162.014252
234.500000,160.180481
231.500000,158.269287
228.500000,155.740707
225.500000,151.627670
222.500000,144.849380
219.500000,140.820602
216.500000,138.770676
213.500000,136.899826
210.500000,135.298843
207.500000,133.701218
204.500000,132.016159
201.500000,130.396606
198.500000,128.283173
195.500000,125.572617
192.500000,119.949684
189.500000,111.876740
186.500000,109.442810
183.500000,107.664421
180.500000,105.759811
177.500000,104.165413
174.500000,102.457062
171.500000,100.419006
168.500000,98.315598
165.500000,95.326546
162.500000,89.333450
159.500000,83.598923
156.500000,81.345451
153.500000,79.464767
150.500000,77.658913
147.500000,76.138260
144.500000,74.231194
141.500000,72.465302
138.500000,70.252380
135.500000,66.581955
132.500000,57.226376
129.500000,53.757408
126.500000,51.679440
123.500000,50.043385
120.500000,48.296787
117.500000,46.834938
114.500000,45.059608
111.500000,43.261406
108.500000,41.241543
105.500000,38.302837
102.500000,33.390793
99.500000,26.847828
96.500000,24.265642
93.500000,22.223440
90.500000,20.612036
87.500000,18.882275
84.500000,17.174181
81.500000,15.462568
78.500000,13.262030
75.500000,10.519205
72.500000,2.072239
69.500000,355.581665
66.500000,356.787231
63.500000,354.874878
60.500000,353.117737
57.500000,351.230865
54.500000,349.433472
51.500000,347.440247
48.500000,344.820709
45.500000,340.618286
42.500000,333.376160
39.500000,329.226715
36.500000,327.034790
33.500000,325.300171
30.500000,323.457458
27.500000,321.893860
24.500000,320.168671
21.500000,318.279419
18.500000,316.292542
15.500000,313.549133
12.500000,307.002289
9.500000,297.868591
6.500000,295.274689
3.500000,293.410400
0.500000,291.597382
360.500000,291.574707
357.500000,289.542999
354.500000,287.815552
351.500000,285.812683
348.500000,283.294647
345.500000,280.133392
342.500000,272.842224
339.500000,266.516205
336.500000,263.957825
333.500000,261.979248
330.500000,260.109711
327.500000,258.039520
324.500000,256.324249
321.500000,254.347153
318.500000,251.790939
315.500000,247.847427
312.500000,237.274551
309.500000,233.560806
306.500000,231.404572
303.500000,229.393188
300.500000,227.884064
297.500000,226.047180
294.500000,224.353012
291.500000,222.691879
288.500000,220.308197
285.500000,217.347260
282.500000,212.085678
279.500000,205.150101
276.500000,202.381989
273.500000,200.209198
270.500000,198.119217
267.500000,196.520081
264.500000,194.614395
261.500000,192.516724
258.500000,190.498932
255.500000,187.597092
252.500000,178.374100
249.500000,172.291412
246.500000,169.888748
243.500000,168.083481
240.500000,166.188614
237.500000,164.273026
234.500000,162.691116
231.500000,160.616028
228.500000,158.026459
225.500000,154.262161
222.500000,147.176544
219.500000,143.345520
216.500000,141.166061
213.500000,139.518570
210.500000,137.849243
207.500000,136.201324
204.500000,134.644638
201.500000,132.806488
198.500000,130.932343
195.500000,128.257751
192.500000,122.374710
189.500000,114.302429
186.500000,111.836281
183.500000,109.794189
180.500000,108.147926
177.500000,106.411163
174.500000,104.624161
171.500000,102.880539
168.500000,100.649101
165.500000,97.717010
162.500000,91.836891
159.500000,85.985619
156.500000,83.569695
153.500000,81.443947
150.500000,79.920753
147.500000,78.177086
144.500000,76.357178
141.500000,74.751785
138.500000,72.362892
135.500000,68.833420
132.500000,58.895889
129.500000,55.500858
126.500000,53.367401
123.500000,51.895340
120.500000,50.009518
117.500000,48.526993
114.500000,46.828259
111.500000,44.862774
108.500000,42.871449
105.500000,39.880615
102.500000,35.044804
99.500000,28.086861
96.500000,25.519533
93.500000,23.698374
90.500000,21.798922
87.500000,20.139828
84.500000,18.486713
81.500000,16.511703
78.500000,14.438774
75.500000,11.672671
72.500000,2.834470
69.500000,356.261200
66.500000,357.339447
63.500000,355.495544
60.500000,353.654541
57.500000,351.698242
54.500000,349.868713
51.500000,347.915771
48.500000,345.259918
45.500000,340.783661
42.500000,333.341187
39.500000,329.134521
36.500000,326.882660
33.500000,325.102905
30.500000,323.279236
27.500000,321.608704
24.500000,319.891846
21.500000,318.014709
18.500000,315.916260
15.500000,313.092224
12.500000,306.408875
9.500000,297.254639
6.500000,294.640686
3.500000,292.661987
0.500000,290.717224
360.500000,290.704712
357.500000,288.807159
354.500000,286.990326
351.500000,284.849640
348.500000,282.291107
345.500000,279.132233
342.500000,271.693390
339.500000,265.195129
336.500000,262.504669
333.500000,260.528564
330.500000,258.696411
327.500000,256.640839
324.500000,254.852234
321.500000,252.997299
318.500000,250.423477
315.500000,246.277847
312.500000,235.595627
309.500000,231.669708
306.500000,229.668091
303.500000,227.847031
300.500000,225.983063
297.500000,224.484650
294.500000,222.576370
291.500000,220.804001
288.500000,218.655991
285.500000,215.579651
282.500000,210.389725
279.500000,202.848999
276.500000,200.084122
273.500000,198.123932
270.500000,196.129211
267.500000,194.281036
264.500000,192.493851
261.500000,190.547318
258.500000,188.299255
255.500000,185.454681
252.500000,176.250763
249.500000,170.232224
246.500000,167.751740
243.500000,165.751404
240.500000,164.058395
237.500000,162.116806
234.500000,160.351257
231.500000,158.475266
228.500000,155.926147
225.500000,151.880066
222.500000,144.841599
219.500000,140.888733
216.500000,138.840134
213.500000,136.927429
210.500000,135.426849
207.500000,133.763138
204.500000,132.147781
201.500000,130.513062
198.500000,128.371445
195.500000,125.696541
192.500000,120.026672
189.500000,111.884079
186.500000,109.510231
183.500000,107.695488
180.500000,105.829437
177.500000,104.229843
174.500000,102.458488
171.500000,100.517082
168.500000,98.469521
165.500000,95.516891
162.500000,89.416039
159.500000,83.652657
156.500000,81.365158
153.500000,79.420464
150.500000,77.657867
147.500000,76.117409
144.500000,74.261185
141.500000,72.519646
138.500000,70.346489
135.500000,66.794418
132.500000,57.098106
129.500000,53.690540
126.500000,51.656288
123.500000,50.051159
120.500000,48.312576
117.500000,46.815556
114.500000,45.096943
111.500000,43.361694
108.500000,41.315994
105.500000,38.349232
102.500000,33.427246
99.500000,26.802650
96.500000,24.216961
93.500000,22.212681
90.500000,20.647633
87.500000,18.880102
84.500000,17.218269
81.500000,15.482784
78.500000,13.351660
75.500000,10.623977
72.500000,2.158321
69.500000,355.538910
66.500000,356.770050
63.500000,354.898163
60.500000,353.141449
57.500000,351.243591
54.500000,349.454651
51.500000,347.463440
48.500000,344.882263
45.500000,340.635315
42.500000,333.254700
39.500000,329.123505
36.500000,326.983429
33.500000,325.284912
30.500000,323.453094
27.500000,321.876526
24.500000,320.156403
21.500000,318.305176
18.500000,316.349792
15.500000,313.645813
12.500000,307.096863
9.500000,297.838562
6.500000,295.266296
3.500000,293.393799
0.500000,291.573853
360.500000,291.566376
357.500000,289.546143
354.500000,287.850830
351.500000,285.801392
348.500000,283.348602
345.500000,280.215515
342.500000,273.008636
339.500000,266.514069
336.500000,263.976471
333.500000,261.978729
330.500000,260.124268
327.500000,258.123016
324.500000,256.434631
321.500000,254.407425
318.500000,251.869904
315.500000,248.012222
312.500000,237.281464
309.500000,233.538513
306.500000,231.405197
303.500000,229.408844
300.500000,227.917007
297.500000,226.116699
294.500000,224.454330
291.500000,222.732132
288.500000,220.408356
285.500000,217.445526
282.500000,212.133789
279.500000,205.144302
276.500000,202.443344
273.500000,200.266068
270.500000,198.183731
267.500000,196.671829
264.500000,194.672974
261.500000,192.705139
258.500000,190.691116
255.500000,187.913635
252.500000,178.571625
249.500000,172.309296
246.500000,169.912781
243.500000,168.197495
240.500000,166.271698
237.500000,164.401230
234.500000,162.879501
231.500000,160.707886
