Reference Angle [degree],Measured Angle [degree] 
0.200000,286.804352
3.200000,291.315704
6.200000,293.262787
9.200000,295.491272
12.200000,298.247040
15.200000,303.453400
18.200001,313.714172
21.200001,316.617523
24.200001,318.579071
27.200001,320.368256
30.200001,322.191284
33.200001,323.792389
36.200001,325.711609
39.200001,327.664215
42.200001,329.989288
45.200001,333.522278
48.200001,340.707703
51.200001,345.952271
54.200001,348.495483
57.200001,350.538605
60.200001,352.178345
63.200001,354.209839
66.199997,356.190033
69.199997,358.032257
72.199997,360.630981
75.199997,5.172301
78.199997,12.129049
81.199997,15.250672
84.199997,17.166319
87.199997,18.902529
90.199997,20.747852
93.199997,22.352564
96.199997,24.236074
99.199997,26.369167
102.199997,29.144497
105.199997,33.877567
108.199997,40.563911
111.199997,43.667599
114.199997,45.581104
117.199997,47.201641
120.199997,49.108818
123.199997,50.478390
126.199997,52.346249
129.199997,54.133457
132.199997,56.054089
135.199997,58.913830
138.199997,68.705811
141.199997,72.793190
144.199997,75.150017
147.199997,76.967072
150.199997,78.493172
153.199997,80.484764
156.199997,82.084450
159.199997,84.003838
162.199997,86.627541
165.199997,91.127411
168.199997,97.872902
171.199997,101.256775
174.199997,103.488251
177.199997,105.219452
180.199997,106.869415
183.199997,108.729202
186.199997,110.373009
189.199997,112.375237
192.199997,115.050537
195.199997,120.054710
198.199997,128.751999
201.199997,131.608215
204.199997,133.349777
207.199997,135.022995
210.199997,136.718628
213.199997,138.219849
216.199997,140.037384
219.199997,141.827957
222.199997,143.933395
225.199997,147.083878
228.199997,154.124527
231.199997,158.806107
234.199997,161.084763
237.199997,163.152985
240.199997,164.881195
243.199997,166.572464
246.199997,168.652359
249.199997,170.632736
252.199997,173.095566
255.199997,177.336411
258.200012,188.128479
261.200012,191.361450
264.200012,193.375214
267.200012,195.028854
270.200012,197.128830
273.200012,198.836288
276.200012,200.646133
279.200012,203.031464
282.200012,205.918655
285.200012,211.272995
288.200012,217.808243
291.200012,220.930099
294.200012,223.058456
297.200012,224.947662
300.200012,226.438690
303.200012,228.373489
306.200012,229.981842
309.200012,231.828705
312.200012,234.190491
315.200012,237.246979
318.200012,247.751511
321.200012,252.553894
324.200012,254.887329
327.200012,256.971130
330.200012,258.617004
333.200012,260.508057
336.200012,262.625092
339.200012,264.685669
342.200012,267.352020
345.200012,272.176208
348.200012,280.382751
351.200012,283.995239
354.200012,286.310577
357.200012,288.391418
360.200012,290.202606
363.200012,291.966217
366.200012,294.034302
369.200012,296.061218
372.200012,298.719849
375.200012,303.392334
378.200012,314.160706
381.200012,316.955811
384.200012,318.859283
387.200012,320.543579
390.200012,322.343994
393.200012,323.900452
396.200012,325.761414
399.200012,327.660309
402.200012,329.869263
405.200012,333.284332
408.200012,340.472137
411.200012,345.613037
414.200012,348.058777
417.200012,350.016174
420.200012,351.721283
423.200012,353.617981
426.200012,355.500824
429.200012,357.411102
432.200012,359.875732
435.200012,4.346377
438.200012,11.132899
441.200012,14.030897
444.200012,15.981001
447.200012,17.828463
450.200012,19.356459
453.200012,21.160036
456.200012,22.859365
459.200012,24.791880
462.200012,27.496222
465.200012,32.491543
468.200012,38.863304
471.200012,41.911076
474.200012,43.984795
477.200012,45.526470
480.200012,47.297028
483.200012,48.795467
486.200012,50.567120
489.200012,52.298729
492.200012,54.272930
495.200012,57.150711
498.200012,66.674141
501.200012,70.935722
504.200012,73.175896
507.200012,74.759125
510.200012,76.546234
513.200012,78.202492
516.200012,79.901482
519.200012,81.981781
522.200012,84.508904
525.200012,88.910378
528.200012,95.844612
531.200012,99.264030
534.200012,101.287872
537.200012,102.892532
540.200012,104.805817
543.200012,106.366432
546.200012,108.131447
549.200012,110.253349
552.200012,112.811111
555.200012,117.552376
558.200012,126.268204
561.200012,129.018524
564.200012,130.911697
567.200012,132.668808
570.200012,134.121658
573.200012,135.945190
576.200012,137.503891
579.200012,139.371155
582.200012,141.664078
585.200012,144.782898
588.200012,151.741882
591.200012,156.573624
594.200012,159.023666
597.200012,160.992249
600.200012,162.617233
603.200012,164.577591
606.200012,166.453308
609.200012,168.388580
612.200012,170.915390
615.200012,175.201721
618.200012,185.951248
621.200012,189.118515
624.200012,191.118652
627.200012,193.080826
630.200012,194.898880
633.200012,196.713120
636.200012,198.752579
639.200012,200.929840
642.200012,203.886169
645.200012,209.087753
648.200012,216.178802
651.200012,219.297668
654.200012,221.437561
657.200012,223.024292
660.200012,224.923615
663.200012,226.593750
666.200012,228.275192
669.200012,230.368652
672.200012,232.565628
675.200012,235.618805
678.200012,246.173615
681.200012,251.021896
684.200012,253.464554
687.200012,255.541550
690.200012,257.237030
693.200012,259.203735
696.200012,261.255890
699.200012,263.337860
702.200012,266.098206
705.200012,270.929077
708.200012,279.351959
711.200012,283.217285
714.200012,285.455719
717.200012,287.519775
720.200012,289.492218
723.200012,291.216553
726.200012,293.213837
729.200012,295.369537
732.200012,298.088745
735.200012,302.854340
738.200012,313.708069
741.200012,316.583801
744.200012,318.542786
747.200012,320.310852
750.200012,322.094147
753.200012,323.704071
756.200012,325.639984
759.200012,327.531158
762.200012,329.812317
765.200012,333.218170
768.200012,340.639282
771.200012,345.975739
774.200012,348.470306
777.200012,350.500885
780.200012,352.086731
783.200012,354.170441
786.200012,356.105591
789.200012,357.942810
792.200012,360.543579
795.200012,5.037119
798.200012,12.278869
801.200012,15.267882
804.200012,17.159185
807.200012,18.908501
810.200012,20.718687
813.200012,22.264273
816.200012,24.199871
819.200012,26.281582
822.200012,28.970919
825.200012,33.753017
828.200012,40.554409
831.200012,43.633934
834.200012,45.575741
837.200012,47.193291
840.200012,49.073154
843.200012,50.434452
846.200012,52.336681
849.200012,54.056278
852.200012,55.974319
855.200012,58.882755
858.200012,68.613052
861.200012,72.891083
864.200012,75.215500
867.200012,77.023994
870.200012,78.515274
873.200012,80.550827
876.200012,82.075325
879.200012,84.003044
882.200012,86.607071
885.200012,91.170906
888.200012,97.985115
891.200012,101.293945
894.200012,103.548225
897.200012,105.333641
900.200012,106.901276
903.200012,108.809288
906.200012,110.366936
909.200012,112.367569
912.200012,115.056976
915.200012,119.895599
918.200012,128.879776
921.200012,131.677063
924.200012,133.403610
927.200012,135.075577
930.200012,136.849976
933.200012,138.250931
936.200012,140.163742
939.200012,141.856903
942.200012,143.938110
945.200012,147.134964
948.200012,154.273727
951.200012,159.000946
954.200012,161.160202
957.200012,163.209427
960.200012,165.004684
963.200012,166.610764
966.200012,168.749283
969.200012,170.716522
972.200012,173.156525
975.200012,177.347153
978.200012,188.324158
981.200012,191.452011
984.200012,193.486588
987.200012,195.042465
990.200012,197.160233
993.200012,198.888626
996.200012,200.664185
999.200012,203.032227
1002.20001,205.897324
1005.20001,211.191895
1008.20001,217.821487
1011.20001,220.969940
1014.20001,223.133835
1017.20001,225.014847
1020.20001,226.475708
1023.20001,228.363159
1026.19995,230.001953
1029.19995,231.848846
1032.19995,234.200195
1035.19995,237.176117
1038.19995,247.768967
1041.19995,252.591888
1044.19995,254.914246
1047.19995,256.945740
1050.19995,258.632690
1053.19995,260.534637
1056.19995,262.609314
1059.19995,264.712708
1062.19995,267.317383
1065.19995,272.097839
1068.19995,280.411530
1071.19995,284.036011
1074.19995,286.346588
1077.19995,288.431946
1080.19995,290.173981
1083.19995,291.958984
1086.19995,293.990753
1089.19995,296.002411
1092.19995,298.629700
1095.19995,303.279999
1098.19995,314.175354
1101.19995,316.978851
1104.19995,318.849579
1107.19995,320.514069
1110.19995,322.362457
1113.19995,323.882233
1116.19995,325.709595
1119.19995,327.601959
1122.19995,329.815552
1125.19995,333.155548
1128.19995,340.487396
1131.19995,345.618011
1134.19995,348.101471
1137.19995,349.998016
1140.19995,351.688354
1143.19995,353.613373
1146.19995,355.457886
1149.19995,357.417542
1152.19995,359.840088
1155.19995,4.151068
1158.19995,11.148799
1161.19995,14.047920
1164.19995,15.973645
1167.19995,17.779993
1170.19995,19.305876
1173.19995,21.124104
1176.19995,22.820942
1179.19995,24.739092
1182.19995,27.387955
1185.19995,32.327152
1188.19995,38.880062
1191.19995,41.859604
1194.19995,43.904293
1197.19995,45.537540
1200.19995,47.225510
1203.19995,48.751198
1206.19995,50.475098
1209.19995,52.258739
1212.19995,54.210209
1215.19995,57.074738
1218.19995,66.706848
1221.19995,70.954971
1224.19995,73.138962
1227.19995,74.799026
1230.19995,76.540649
1233.19995,78.247215
1236.19995,79.910355
1239.19995,81.970741
1242.19995,84.520027
1245.19995,88.777878
1248.19995,95.923584
1251.19995,99.263542
1254.19995,101.339973
1257.19995,102.931702
1260.19995,104.839508
1263.19995,106.368973
1266.19995,108.125420
1269.19995,110.242249
1272.19995,112.861198
1275.19995,117.497650
1278.19995,126.401726
1281.19995,129.152679
1284.19995,130.965378
1287.19995,132.820541
1290.19995,134.227173
1293.19995,136.017487
1296.19995,137.613571
1299.19995,139.419189
1302.19995,141.738190
1305.19995,144.850525
1308.19995,151.930908
1311.19995,156.703979
1314.19995,159.111069
1317.19995,161.120071
1320.19995,162.692108
1323.19995,164.618179
1326.19995,166.572739
1329.19995,168.454117
1332.19995,170.971741
1335.19995,175.164917
1338.19995,186.047058
1341.19995,189.296448
1344.19995,191.255249
1347.19995,193.127731
1350.19995,194.963242
1353.19995,196.722855
1356.19995,198.776627
1359.19995,200.936127
1362.19995,203.835312
1365.19995,209.131058
1368.19995,216.201920
1371.19995,219.316345
1374.19995,221.480515
1377.19995,223.059570
1380.19995,224.936462
1383.19995,226.620270
1386.19995,228.286621
1389.19995,230.356995
1392.19995,232.565765
1395.19995,235.574860
1398.19995,246.207932
1401.19995,251.053513
1404.19995,253.482788
1407.19995,255.550522
1410.19995,257.191437
1413.19995,259.171783
1416.19995,261.308411
1419.19995,263.315277
1422.19995,266.004669
1425.19995,270.850830
1428.19995,279.336792
1431.19995,283.233246
1434.19995,285.479492
1437.19995,287.485474
