=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.16 09:24:02 =~=~=~=~=~=~=~=~=~=~=~=
Der STM32H7 hat folgende Temperatur: 42.000000°
Strom in Phase U: 0.128657A; Phase V: 0.051110A; Phase W: 0.298352A; NTC Spannung: 0.983956V 
Spannung: Phase U: 0.048794V; Phase V: 0.054786V; Phase W: 0.000000V; Versorgungsspannung: 18.028717V 
HALL Sensor Daten: 284.897461
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 43.000000°
Strom in Phase U: 0.119089A; Phase V: 0.057656A; Phase W: 0.323529A; NTC Spannung: 0.983956V 
Spannung: Phase U: 0.006848V; Phase V: 0.054786V; Phase W: 0.000000V; Versorgungsspannung: 18.028717V 
HALL Sensor Daten: 284.864502
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 43.000000°
Strom in Phase U: 0.136713A; Phase V: 0.068734A; Phase W: 0.316479A; NTC Spannung: 0.983956V 
Spannung: Phase U: 0.061634V; Phase V: 0.056498V; Phase W: 0.075331V; Versorgungsspannung: 18.028717V 
HALL Sensor Daten: 284.864502
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 43.000000°
Strom in Phase U: 0.127649A; Phase V: 0.061685A; Phase W: 0.334607A; NTC Spannung: 0.983956V 
Spannung: Phase U: 0.061634V; Phase V: 0.011128V; Phase W: 0.000000V; Versorgungsspannung: 18.028717V 
HALL Sensor Daten: 284.859009
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 43.000000°
Strom in Phase U: 0.123117A; Phase V: 0.052117A; Phase W: 0.331585A; NTC Spannung: 0.983956V 
Spannung: Phase U: 0.064202V; Phase V: 0.049650V; Phase W: 0.011128V; Versorgungsspannung: 18.028717V 
HALL Sensor Daten: 284.875488
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Reference Angle [degree],Measured Angle [degree] 
Reference Angle [degree],Measured Angle [degree] 
0.200000,359.113281
3.200000,3.744812
6.200000,5.807800
9.200000,8.005890
12.200000,10.803680
15.200000,15.857422
18.200001,26.245361
21.200001,29.187073
24.200001,31.138336
27.200001,32.917450
30.200001,34.768951
33.200001,36.374054
36.200001,38.289215
39.200001,40.217194
42.200001,42.519165
45.200001,46.020081
48.200001,53.219025
51.200001,58.435150
54.200001,60.989563
57.200001,63.039307
60.200001,64.640930
63.200001,66.703247
66.199997,68.647858
69.199997,70.451080
72.199997,73.021210
75.199997,77.534752
78.199997,84.517097
81.199997,87.761253
84.199997,89.629288
87.199997,91.456871
90.199997,93.310959
93.199997,94.842262
96.199997,96.785675
99.199997,98.932732
102.199997,101.596794
105.199997,106.495544
108.199997,113.198395
111.199997,116.229095
114.199997,118.147232
117.199997,119.739120
120.199997,121.670334
123.199997,123.032120
126.199997,124.923477
129.199997,126.664696
132.199997,128.626053
135.199997,131.485870
138.199997,141.087982
141.199997,145.322906
144.199997,147.649902
147.199997,149.419617
150.199997,150.949051
153.199997,152.946198
156.199997,154.450790
159.199997,156.470734
162.199997,159.015762
165.199997,163.398987
168.199997,170.246796
171.199997,173.691299
174.199997,175.976532
177.199997,177.669510
180.199997,179.328613
183.199997,181.230194
186.199997,182.883347
189.199997,184.881805
192.199997,187.620850
195.199997,192.808304
198.199997,201.365601
201.199997,204.115738
204.199997,205.878510
207.199997,207.532898
210.199997,209.271255
213.199997,210.727127
216.199997,212.608337
219.199997,214.254044
222.199997,216.396362
225.199997,219.588394
228.199997,226.633789
231.199997,231.214584
234.199997,233.553101
237.199997,235.646881
240.199997,237.271011
243.199997,239.007339
246.199997,241.138824
249.199997,242.981094
252.199997,245.375488
255.199997,249.729370
258.200012,260.542908
261.200012,263.828979
264.200012,265.780914
267.200012,267.444824
270.200012,269.593689
273.200012,271.330902
276.200012,273.139648
279.200012,275.539368
282.200012,278.431641
285.200012,283.899170
288.200012,290.384216
291.200012,293.440979
294.200012,295.613708
297.200012,297.508362
300.200012,298.970764
303.200012,300.861481
306.200012,302.481842
309.200012,304.340637
312.200012,306.706299
315.200012,309.719238
318.200012,320.112885
321.200012,324.983002
324.200012,327.349487
327.200012,329.367462
330.200012,331.078796
333.200012,332.986725
336.200012,335.054535
339.200012,337.120789
342.200012,339.733673
345.200012,344.502136
348.200012,352.830475
351.200012,356.474945
354.200012,358.849609
357.200012,0.954132
360.200012,2.712158
363.200012,4.537231
366.200012,6.585571
369.200012,8.580688
372.200012,11.339355
375.200012,16.206421
378.200012,26.796692
381.200012,29.559448
384.200012,31.475708
387.200012,33.132568
390.200012,34.934448
393.200012,36.458984
396.200012,38.326904
399.200012,40.228699
402.200012,42.433350
405.200012,45.849792
408.200012,53.011108
411.200012,58.150085
414.200012,60.561768
417.200012,62.518311
420.200012,64.215820
423.200012,66.115662
426.200012,68.001465
429.200012,69.904602
432.200012,72.359009
435.200012,76.668243
438.200012,83.527954
441.200012,86.540833
444.200012,88.487213
447.200012,90.338806
450.200012,91.888977
453.200012,93.690125
456.200012,95.472504
459.200012,97.382507
462.200012,100.118561
465.200012,105.111633
468.200012,111.467743
471.200012,114.449280
474.200012,116.552856
477.200012,118.125000
480.200012,119.862732
483.200012,121.396240
486.200012,123.055908
489.200012,124.907074
492.200012,126.864685
495.200012,129.682343
498.200012,139.149170
501.200012,143.377045
504.200012,145.626068
507.200012,147.253296
510.200012,148.975159
513.200012,150.720001
516.200012,152.361511
519.200012,154.418701
522.200012,156.945007
525.200012,161.181519
528.200012,168.162598
531.200012,171.692505
534.200012,173.792725
537.200012,175.396301
540.200012,177.329102
543.200012,178.886719
546.200012,180.661621
549.200012,182.814941
552.200012,185.391479
555.200012,190.332520
558.200012,198.919983
561.200012,201.618530
564.200012,203.447510
567.200012,205.251587
570.200012,206.708740
573.200012,208.494934
576.200012,210.079773
579.200012,211.870056
582.200012,214.187622
585.200012,217.310181
588.200012,224.213745
591.200012,229.037170
594.200012,231.489868
597.200012,233.459106
600.200012,235.057373
603.200012,237.039917
606.200012,238.882935
609.200012,240.772644
612.200012,243.283997
615.200012,247.373901
618.200012,258.248474
621.200012,261.544617
624.200012,263.625549
627.200012,265.542419
630.200012,267.422058
633.200012,269.219116
636.200012,271.251709
639.200012,273.432495
642.200012,276.440063
645.200012,281.781433
648.200012,288.781738
651.200012,291.837036
654.200012,293.970581
657.200012,295.613770
660.200012,297.463745
663.200012,299.126099
666.200012,300.792969
669.200012,302.880127
672.200012,305.140747
675.200012,308.210327
678.200012,318.568481
681.200012,323.517212
684.200012,325.968567
687.200012,327.973206
690.200012,329.656128
693.200012,331.620850
696.200012,333.763672
699.200012,335.736389
702.200012,338.479614
705.200012,343.346924
708.200012,351.715454
711.200012,355.697937
714.200012,357.987427
717.200012,0.009583
