=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.16 10:49:21 =~=~=~=~=~=~=~=~=~=~=~=
Der STM32H7 hat folgende Temperatur: 43.000000°
Strom in Phase U: 0.125132A; Phase V: 0.062188A; Phase W: 0.315472A; NTC Spannung: 1.039560V 
Spannung: Phase U: 0.005992V; Phase V: 0.040233V; Phase W: 0.012840V; Versorgungsspannung: 18.028717V 
HALL Sensor Daten: 104.512939
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 44.000000°
Strom in Phase U: 0.127145A; Phase V: 0.046577A; Phase W: 0.331585A; NTC Spannung: 1.039560V 
Spannung: Phase U: 0.013696V; Phase V: 0.023969V; Phase W: 0.000000V; Versorgungsspannung: 18.028717V 
HALL Sensor Daten: 104.430542
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 44.000000°
Strom in Phase U: 0.126642A; Phase V: 0.051110A; Phase W: 0.316479A; NTC Spannung: 1.039560V 
Spannung: Phase U: 0.060778V; Phase V: 0.047082V; Phase W: 0.047082V; Versorgungsspannung: 18.028717V 
HALL Sensor Daten: 104.468994
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 44.000000°
Strom in Phase U: 0.133188A; Phase V: 0.046577A; Phase W: 0.315472A; NTC Spannung: 1.039560V 
Spannung: Phase U: 0.046226V; Phase V: 0.028249V; Phase W: 0.000000V; Versorgungsspannung: 18.028717V 
HALL Sensor Daten: 104.430542
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 44.000000°
Strom in Phase U: 0.134195A; Phase V: 0.064706A; Phase W: 0.304394A; NTC Spannung: 1.039560V 
Spannung: Phase U: 0.053930V; Phase V: 0.059066V; Phase W: 0.003424V; Versorgungsspannung: 18.028717V 
HALL Sensor Daten: 104.562378
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Reference Angle [degree],Measured Angle [degree] 
Reference Angle [degree],Measured Angle [degree] 
0.200000,178.290253
3.200000,181.310577
6.200000,182.960938
9.200000,184.932739
12.200000,187.665222
15.200000,192.948242
18.200001,201.556274
21.200001,204.299530
24.200001,206.165329
27.200001,207.682648
30.200001,209.522766
33.200001,210.851654
36.200001,212.812286
39.200001,214.497528
42.200001,216.523849
45.200001,219.690384
48.200001,226.672943
51.200001,231.296036
54.200001,233.496490
57.200001,235.643326
60.200001,237.283966
63.200001,238.953949
66.199997,241.042770
69.199997,242.906036
72.199997,245.238373
75.199997,249.267776
78.199997,260.252014
81.199997,263.824860
84.199997,265.843140
87.199997,267.488342
90.199997,269.621796
93.199997,271.393433
96.199997,273.223297
99.199997,275.604004
102.199997,278.550446
105.199997,284.168579
108.199997,290.814880
111.199997,293.715881
114.199997,295.711151
117.199997,297.668213
120.199997,299.097229
123.199997,300.960205
126.199997,302.612885
129.199997,304.408203
132.199997,306.773102
135.199997,309.685547
138.199997,320.010437
141.199997,324.915436
144.199997,327.257751
147.199997,329.284424
150.199997,330.900970
153.199997,332.864838
156.199997,334.866791
159.199997,336.867554
162.199997,339.410278
165.199997,344.044800
168.199997,352.449890
171.199997,356.387238
174.199997,358.785187
177.199997,0.875427
180.199997,2.694519
183.199997,4.456635
186.199997,6.590210
189.199997,8.563568
192.199997,11.347351
195.199997,16.398407
198.199997,27.011993
201.199997,29.625519
204.199997,31.557373
207.199997,33.155518
210.199997,34.949921
213.199997,36.460205
216.199997,38.295532
219.199997,40.238464
222.199997,42.397461
225.199997,45.638092
228.199997,52.746918
231.199997,58.020782
234.199997,60.454681
237.199997,62.364655
240.199997,64.016205
243.199997,65.952881
246.199997,67.770325
249.199997,69.620239
252.199997,72.045929
255.199997,75.990662
258.200012,86.786041
261.200012,86.416031
264.200012,88.401520
267.200012,90.285370
270.200012,91.854378
273.200012,93.657051
276.200012,95.440697
279.200012,97.387894
282.200012,100.176086
285.200012,105.419678
288.200012,111.761230
291.200012,114.591553
294.200012,116.634575
