=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.15 09:51:35 =~=~=~=~=~=~=~=~=~=~=~=
Reference Angle [degree],Measured Angle [degree] 
360.000000 , 287.012665
357.000000 , 288.123444
354.000000 , 286.479126
351.000000 , 284.507019
348.000000 , 281.914154
345.000000 , 278.787781
342.000000 , 270.480774
339.000000 , 264.876465
336.000000 , 262.274445
333.000000 , 260.157379
330.000000 , 258.501678
327.000000 , 256.426422
324.000000 , 254.433945
321.000000 , 252.594543
318.000000 , 249.929352
315.000000 , 245.238861
312.000000 , 234.442749
309.000000 , 231.285721
306.000000 , 229.278305
303.000000 , 227.602493
300.000000 , 225.676270
297.000000 , 224.157166
294.000000 , 222.295471
291.000000 , 220.367386
288.000000 , 218.123962
285.000000 , 214.863571
282.000000 , 208.286713
279.000000 , 202.287689
276.000000 , 199.783630
273.000000 , 197.802109
270.000000 , 195.942123
267.000000 , 194.039261
264.000000 , 192.361465
261.000000 , 190.351486
258.000000 , 188.020203
255.000000 , 185.151093
252.000000 , 174.713318
249.000000 , 169.976120
246.000000 , 167.634094
243.000000 , 165.665680
240.000000 , 163.935974
237.000000 , 162.086975
234.000000 , 160.299576
231.000000 , 158.408600
228.000000 , 155.723083
225.000000 , 151.284912
222.000000 , 144.104126
219.000000 , 140.699448
216.000000 , 138.711975
213.000000 , 136.788559
210.000000 , 135.329681
207.000000 , 133.629883
204.000000 , 131.984573
201.000000 , 130.355240
198.000000 , 128.140579
195.000000 , 125.321472
192.000000 , 117.068405
189.000000 , 111.393135
186.000000 , 109.300224
183.000000 , 107.480156
180.000000 , 105.621307
177.000000 , 104.055588
174.000000 , 102.256447
171.000000 , 100.398834
168.000000 , 98.201202
165.000000 , 95.297234
162.000000 , 88.298126
159.000000 , 83.261261
156.000000 , 81.210930
153.000000 , 79.247101
150.000000 , 77.491837
147.000000 , 75.948471
144.000000 , 74.082588
141.000000 , 72.335426
138.000000 , 69.997322
135.000000 , 66.127304
132.000000 , 56.313038
129.000000 , 53.341728
126.000000 , 51.408302
123.000000 , 49.798256
120.000000 , 48.071808
117.000000 , 46.586475
114.000000 , 44.767990
111.000000 , 43.010853
108.000000 , 40.890995
105.000000 , 37.789505
102.000000 , 31.733759
99.000000 , 26.201406
96.000000 , 23.973204
93.000000 , 21.983925
90.000000 , 20.416336
87.000000 , 18.642078
84.000000 , 17.016321
81.000000 , 15.303006
78.000000 , 13.082564
75.000000 , 10.328831
72.000000 , 0.318840
69.000000 , 355.220673
66.000000 , 356.577515
63.000000 , 354.611511
60.000000 , 352.815033
57.000000 , 351.049652
54.000000 , 349.157196
51.000000 , 347.192627
48.000000 , 344.416840
45.000000 , 339.922424
42.000000 , 332.108521
39.000000 , 328.698334
36.000000 , 326.603668
33.000000 , 324.927765
30.000000 , 323.182587
27.000000 , 321.500854
24.000000 , 319.881714
21.000000 , 317.926666
18.000000 , 315.833771
15.000000 , 313.017059
12.000000 , 302.816650
9.000000 , 297.363007
6.000000 , 294.918915
3.000000 , 292.916199
360.000000 , 291.395233
357.000000 , 289.284302
354.000000 , 287.471558
351.000000 , 285.521240
348.000000 , 282.970032
345.000000 , 279.771790
342.000000 , 271.184479
339.000000 , 266.054443
336.000000 , 263.601044
333.000000 , 261.588837
330.000000 , 259.872284
327.000000 , 257.879303
324.000000 , 256.134766
321.000000 , 254.199829
318.000000 , 251.499954
315.000000 , 247.051620
312.000000 , 236.340073
309.000000 , 233.159119
306.000000 , 231.244858
303.000000 , 229.195984
300.000000 , 227.697739
297.000000 , 225.953415
294.000000 , 224.157898
291.000000 , 222.524429
288.000000 , 220.134979
285.000000 , 217.112503
282.000000 , 210.634842
279.000000 , 204.434769
276.000000 , 202.140778
273.000000 , 200.110291
270.000000 , 198.007446
267.000000 , 196.450531
264.000000 , 194.573639
261.000000 , 192.482407
258.000000 , 190.363678
255.000000 , 187.522247
252.000000 , 177.118561
249.000000 , 172.103516
246.000000 , 169.770874
243.000000 , 168.110367
240.000000 , 166.131531
237.000000 , 164.297058
234.000000 , 162.765137
231.000000 , 160.552963
228.000000 , 157.846771
225.000000 , 153.919800
222.000000 , 146.377396
219.000000 , 143.277267
216.000000 , 140.986298
213.000000 , 139.491440
210.000000 , 137.794861
207.000000 , 136.179459
204.000000 , 134.674179
201.000000 , 132.628006
198.000000 , 130.777893
195.000000 , 127.979202
192.000000 , 119.466576
189.000000 , 113.920105
186.000000 , 111.819901
183.000000 , 109.606651
180.000000 , 108.170235
177.000000 , 106.411758
174.000000 , 104.457275
171.000000 , 102.948830
168.000000 , 100.637360
165.000000 , 97.669014
162.000000 , 90.519104
159.000000 , 85.657135
156.000000 , 83.548279
153.000000 , 81.360985
150.000000 , 79.844589
147.000000 , 78.119827
144.000000 , 76.227272
141.000000 , 74.657516
138.000000 , 72.193710
135.000000 , 68.198677
132.000000 , 58.242714
129.000000 , 55.246876
126.000000 , 53.119576
123.000000 , 51.539352
120.000000 , 49.828964
117.000000 , 48.174854
114.000000 , 46.607803
111.000000 , 44.573502
108.000000 , 42.313091
105.000000 , 39.207905
102.000000 , 33.050858
99.000000 , 27.420986
96.000000 , 25.066294
93.000000 , 23.324203
90.000000 , 21.539907
87.000000 , 19.810284
84.000000 , 18.211946
81.000000 , 16.222158
78.000000 , 13.988681
75.000000 , 11.263104
72.000000 , 0.927762
69.000000 , 355.785339
66.000000 , 357.068329
63.000000 , 355.090820
60.000000 , 353.261627
57.000000 , 351.426239
54.000000 , 349.461609
51.000000 , 347.479462
48.000000 , 344.696136
45.000000 , 339.963440
42.000000 , 332.069458
39.000000 , 328.607178
36.000000 , 326.426727
33.000000 , 324.611389
30.000000 , 322.932556
27.000000 , 321.206573
24.000000 , 319.444397
21.000000 , 317.648346
18.000000 , 315.484680
15.000000 , 312.599701
12.000000 , 302.125885
9.000000 , 296.497101
6.000000 , 294.211090
3.000000 , 292.268677
360.000000 , 290.473053
357.000000 , 288.428009
354.000000 , 286.634552
351.000000 , 284.548615
348.000000 , 281.896881
345.000000 , 278.674438
342.000000 , 270.042511
339.000000 , 264.767548
336.000000 , 262.195679
333.000000 , 260.083832
330.000000 , 258.386597
327.000000 , 256.456635
324.000000 , 254.467422
321.000000 , 252.640503
318.000000 , 250.028442
315.000000 , 245.433182
312.000000 , 234.445389
309.000000 , 231.320709
306.000000 , 229.348969
303.000000 , 227.633362
300.000000 , 225.732697
297.000000 , 224.233978
294.000000 , 222.395386
291.000000 , 220.492172
288.000000 , 218.249710
285.000000 , 215.047516
282.000000 , 208.453384
279.000000 , 202.271774
276.000000 , 199.772873
273.000000 , 197.854218
270.000000 , 195.943298
267.000000 , 194.067078
264.000000 , 192.369019
261.000000 , 190.426407
258.000000 , 188.070465
255.000000 , 185.209244
252.000000 , 174.656326
249.000000 , 169.981735
246.000000 , 167.641159
243.000000 , 165.718811
240.000000 , 163.999771
237.000000 , 162.080368
234.000000 , 160.350113
231.000000 , 158.433060
228.000000 , 155.747009
225.000000 , 151.376755
222.000000 , 144.069733
219.000000 , 140.680725
216.000000 , 138.764648
213.000000 , 136.874466
210.000000 , 135.388794
207.000000 , 133.641098
204.000000 , 132.093079
201.000000 , 130.389450
198.000000 , 128.186050
195.000000 , 125.458176
192.000000 , 117.017334
189.000000 , 111.436623
186.000000 , 109.341194
183.000000 , 107.511986
180.000000 , 105.694801
177.000000 , 104.133606
174.000000 , 102.271378
171.000000 , 100.474213
168.000000 , 98.265549
165.000000 , 95.310188
162.000000 , 88.349686
159.000000 , 83.310974
156.000000 , 81.212082
153.000000 , 79.248024
150.000000 , 77.544502
147.000000 , 75.957649
144.000000 , 74.156998
141.000000 , 72.420227
138.000000 , 70.029205
135.000000 , 66.261971
132.000000 , 56.299538
129.000000 , 53.311661
126.000000 , 51.488163
123.000000 , 49.796616
120.000000 , 48.097885
117.000000 , 46.593109
114.000000 , 44.803242
111.000000 , 43.134811
108.000000 , 40.894264
105.000000 , 37.900028
102.000000 , 31.788092
99.000000 , 26.248314
96.000000 , 23.965322
93.000000 , 22.005653
90.000000 , 20.462860
87.000000 , 18.688082
84.000000 , 17.046005
81.000000 , 15.343898
78.000000 , 13.113791
75.000000 , 10.387369
72.000000 , 0.240214
69.000000 , 355.193481
66.000000 , 356.575104
63.000000 , 354.615540
60.000000 , 352.828583
57.000000 , 351.070282
54.000000 , 349.176392
51.000000 , 347.179535
48.000000 , 344.434143
45.000000 , 339.978943
42.000000 , 332.115601
39.000000 , 328.764618
36.000000 , 326.613525
33.000000 , 324.933990
30.000000 , 323.142944
27.000000 , 321.481079
24.000000 , 319.891968
21.000000 , 317.960907
18.000000 , 315.871796
15.000000 , 313.087036
12.000000 , 302.895874
9.000000 , 297.319427
6.000000 , 294.936066
3.000000 , 293.018158
360.000000 , 291.409241
357.000000 , 289.308411
354.000000 , 287.463074
351.000000 , 285.558411
348.000000 , 283.024719
345.000000 , 279.836914
342.000000 , 271.358582
339.000000 , 266.100128
336.000000 , 263.669434
333.000000 , 261.647430
330.000000 , 259.895538
327.000000 , 257.906372
324.000000 , 256.141083
321.000000 , 254.187637
318.000000 , 251.567093
315.000000 , 247.169617
312.000000 , 236.347595
309.000000 , 233.110077
306.000000 , 231.216171
303.000000 , 229.181061
300.000000 , 227.686234
297.000000 , 225.950867
294.000000 , 224.208481
291.000000 , 222.558685
288.000000 , 220.154205
285.000000 , 217.104721
282.000000 , 210.620621
279.000000 , 204.381836
276.000000 , 202.094543
273.000000 , 200.108276
270.000000 , 197.976135
267.000000 , 196.467560
264.000000 , 194.559219
261.000000 , 192.502930
258.000000 , 190.494278
255.000000 , 187.562515
252.000000 , 177.182327
249.000000 , 172.085098
246.000000 , 169.761993
243.000000 , 168.094391
240.000000 , 166.163101
237.000000 , 164.319290
234.000000 , 162.785889
231.000000 , 160.571930
228.000000 , 157.855713
225.000000 , 153.969269
222.000000 , 146.430374
219.000000 , 143.226364
216.000000 , 141.012848
213.000000 , 139.473785
210.000000 , 137.806961
207.000000 , 136.110519
204.000000 , 134.685410
201.000000 , 132.705750
198.000000 , 130.844131
195.000000 , 128.061600
192.000000 , 119.635880
189.000000 , 113.937141
186.000000 , 111.819862
183.000000 , 109.607132
180.000000 , 108.170387
177.000000 , 106.437881
174.000000 , 104.512299
171.000000 , 102.981209
168.000000 , 100.667091
165.000000 , 97.757454
162.000000 , 90.555496
159.000000 , 85.697845
156.000000 , 83.530586
153.000000 , 81.378815
150.000000 , 79.839973
147.000000 , 78.114578
144.000000 , 76.224045
141.000000 , 74.628426
138.000000 , 72.187431
135.000000 , 68.254051
132.000000 , 58.244434
129.000000 , 55.254093
126.000000 , 53.077511
123.000000 , 51.536346
120.000000 , 49.817558
117.000000 , 48.170166
114.000000 , 46.601002
111.000000 , 44.556454
108.000000 , 42.369732
105.000000 , 39.254448
102.000000 , 33.064297
99.000000 , 27.378330
96.000000 , 25.081289
93.000000 , 23.317543
90.000000 , 21.558741
87.000000 , 19.771690
84.000000 , 18.195465
81.000000 , 16.229464
78.000000 , 14.002761
75.000000 , 11.262421
72.000000 , 0.877437
69.000000 , 355.780670
66.000000 , 357.004791
63.000000 , 355.064758
60.000000 , 353.232666
57.000000 , 351.418671
54.000000 , 349.447540
51.000000 , 347.490753
48.000000 , 344.678131
45.000000 , 340.060120
42.000000 , 332.059479
39.000000 , 328.609650
36.000000 , 326.443756
33.000000 , 324.614288
30.000000 , 322.878998
27.000000 , 321.233398
24.000000 , 319.446106
21.000000 , 317.648956
18.000000 , 315.453949
15.000000 , 312.611267
12.000000 , 302.048157
9.000000 , 296.493256
6.000000 , 294.185852
3.000000 , 292.274017
