=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.15 22:05:46 =~=~=~=~=~=~=~=~=~=~=~=
Der STM32H7 hat folgende Temperatur: 45.000000°
Strom in Phase U: 0.129663A; Phase V: 0.052620A; Phase W: 0.325544A; NTC Spannung: 1.112088V 
Spannung: Phase U: 0.040233V; Phase V: 0.058210V; Phase W: 0.000000V; Versorgungsspannung: 17.973919V 
HALL Sensor Daten: 284.831543
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 46.000000°
Strom in Phase U: 0.128152A; Phase V: 0.056145A; Phase W: 0.320004A; NTC Spannung: 1.112088V 
Spannung: Phase U: 0.060778V; Phase V: 0.063346V; Phase W: 0.003424V; Versorgungsspannung: 17.973919V 
HALL Sensor Daten: 284.864502
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 46.000000°
Strom in Phase U: 0.118082A; Phase V: 0.057153A; Phase W: 0.330579A; NTC Spannung: 1.112088V 
Spannung: Phase U: 0.050506V; Phase V: 0.053930V; Phase W: 0.068482V; Versorgungsspannung: 17.973919V 
HALL Sensor Daten: 284.831543
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 46.000000°
Strom in Phase U: 0.119089A; Phase V: 0.060173A; Phase W: 0.316983A; NTC Spannung: 1.112088V 
Spannung: Phase U: 0.068482V; Phase V: 0.064202V; Phase W: 0.010272V; Versorgungsspannung: 17.973919V 
HALL Sensor Daten: 284.848022
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Der STM32H7 hat folgende Temperatur: 46.000000°
Strom in Phase U: 0.129160A; Phase V: 0.067726A; Phase W: 0.309933A; NTC Spannung: 1.112088V 
Spannung: Phase U: 0.005136V; Phase V: 0.010272V; Phase W: 0.000000V; Versorgungsspannung: 17.973919V 
HALL Sensor Daten: 284.820557
Driver FAULT1: 0.000000 FAULT2: 0.000000 
Reference Angle [degree],Measured Angle [degree] 
Reference Angle [degree],Measured Angle [degree] 
0.200000,286.606018
3.200000,291.151642
6.200000,293.217316
9.200000,295.388916
12.200000,298.152161
15.200000,302.915497
18.200001,313.513367
21.200001,316.489197
24.200001,318.513153
27.200001,320.284302
30.200001,322.052979
33.200001,323.756012
36.200001,325.560547
39.200001,327.503021
42.200001,329.831482
45.200001,333.275482
48.200001,340.641998
51.200001,345.900543
54.200001,348.448059
57.200001,350.374634
60.200001,352.092346
63.200001,354.065887
66.199997,356.071869
69.199997,357.923981
72.199997,360.516876
75.199997,4.923199
78.199997,12.068220
81.199997,15.154593
84.199997,17.072689
87.199997,18.798870
90.199997,20.640797
93.199997,22.182968
96.199997,24.149717
99.199997,26.252842
102.199997,28.934101
105.199997,33.627914
108.199997,40.552784
111.199997,43.622940
114.199997,45.498028
117.199997,47.099327
120.199997,49.088184
123.199997,50.401939
126.199997,52.329552
129.199997,54.063023
132.199997,55.926037
135.199997,58.853039
138.199997,68.695496
141.199997,72.873558
144.199997,75.185677
147.199997,77.030846
150.199997,78.503357
153.199997,80.469269
156.199997,82.082207
159.199997,83.996330
162.199997,86.611130
165.199997,91.094505
168.199997,97.943398
171.199997,101.300468
174.199997,103.522293
177.199997,105.292267
180.199997,106.884377
183.199997,108.774063
186.199997,110.439674
189.199997,112.406708
192.199997,115.090332
195.199997,120.005463
198.199997,128.892456
201.199997,131.675690
204.199997,133.482178
207.199997,135.086792
210.199997,136.867401
213.199997,138.308853
216.199997,140.195892
219.199997,141.932266
222.199997,143.992920
225.199997,147.093903
228.199997,154.253372
231.199997,158.929596
234.199997,161.179459
237.199997,163.247467
240.199997,165.017166
243.199997,166.638809
246.199997,168.686996
249.199997,170.705704
252.199997,173.187927
255.199997,177.293274
258.200012,188.303238
261.200012,191.430252
264.200012,193.481949
267.200012,195.094330
2
