=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.16 09:18:25 =~=~=~=~=~=~=~=~=~=~=~=
Reference Angle [degree],Measured Angle [degree] 
0.200000,357.613129
3.200000,1.934540
6.200000,3.771759
9.200000,5.937408
12.200000,8.978638
15.200000,15.113098
18.200001,23.883759
21.200001,26.830261
24.200001,28.782318
27.200001,30.492645
30.200001,32.379883
33.200001,33.916748
36.200001,35.866455
39.200001,37.908630
42.200001,40.219177
45.200001,43.796021
48.200001,50.755432
51.200001,55.966705
54.200001,58.576569
57.200001,60.606720
60.200001,62.226257
63.200001,64.297607
66.199997,66.276337
69.199997,68.179108
72.199997,70.727509
75.199997,75.289940
78.199997,82.051559
81.199997,85.259293
84.199997,87.189697
87.199997,89.034546
90.199997,90.873589
93.199997,92.448357
96.199997,94.390778
99.199997,96.581818
102.199997,99.391457
105.199997,104.312302
108.199997,110.736832
111.199997,113.743324
114.199997,115.692169
117.199997,117.280121
120.199997,119.205673
123.199997,120.583557
126.199997,122.430817
129.199997,124.284088
132.199997,126.231720
135.199997,129.131454
138.199997,138.540283
141.199997,142.753555
144.199997,145.105591
147.199997,146.909485
150.199997,148.462036
153.199997,150.456024
156.199997,151.983002
159.199997,153.987900
162.199997,156.535522
165.199997,160.988617
168.199997,167.679489
171.199997,171.164795
174.199997,173.437531
177.199997,175.135437
180.199997,176.831818
183.199997,178.651764
186.199997,180.327301
189.199997,182.392273
192.199997,185.112305
195.199997,190.344543
198.199997,198.722183
201.199997,201.484314
204.199997,203.280396
207.199997,204.999710
210.199997,206.659851
213.199997,208.170441
216.199997,210.028061
219.199997,211.752472
222.199997,213.884720
225.199997,217.046783
228.199997,224.060730
231.199997,228.626297
234.199997,230.929840
237.199997,233.032806
240.199997,234.622131
243.199997,236.401077
246.199997,238.527634
249.199997,240.465393
252.199997,242.855347
255.199997,247.258301
258.200012,257.826721
261.200012,261.169495
264.200012,263.170349
267.200012,264.922974
270.200012,267.048340
273.200012,268.739563
276.200012,270.611511
279.200012,273.004272
282.200012,275.964050
285.200012,281.414795
288.200012,287.823669
291.200012,290.893127
294.200012,293.093628
297.200012,294.944275
300.200012,296.470154
303.200012,298.373260
306.200012,299.995544
309.200012,301.875427
312.200012,304.285217
315.200012,307.283936
318.200012,317.575195
321.200012,322.424133
324.200012,324.805267
327.200012,326.827698
330.200012,328.579895
333.200012,330.494812
336.200012,332.574768
339.200012,334.589203
342.200012,337.242310
345.200012,342.086731
348.200012,350.269257
351.200012,353.950714
354.200012,356.322388
357.200012,358.458893
360.200012,0.261108
363.200012,2.052002
366.200012,4.138184
369.200012,6.234863
372.200012,8.922974
375.200012,13.931702
378.200012,24.290405
381.200012,27.081299
384.200012,28.989990
387.200012,30.663208
390.200012,32.504578
393.200012,34.034546
396.200012,35.877319
399.200012,37.846069
402.200012,40.089966
405.200012,43.495300
408.200012,50.567261
411.200012,55.634888
414.200012,58.103699
417.200012,60.033936
420.200012,61.763916
423.200012,63.666260
426.200012,65.554077
429.200012,67.489258
432.200012,69.985718
435.200012,74.320770
438.200012,80.986908
441.200012,84.069977
444.200012,86.047791
447.200012,87.878632
450.200012,89.467438
453.200012,91.265259
456.200012,93.008087
459.200012,94.939423
462.200012,97.708618
465.200012,102.780640
468.200012,108.988037
471.200012,112.031158
474.200012,114.072296
477.200012,115.644257
480.200012,117.420898
483.200012,118.939362
486.200012,120.638000
489.200012,122.442261
492.200012,124.421692
495.200012,127.303864
498.200012,136.570312
501.200012,140.934814
504.200012,143.154572
507.200012,144.744965
510.200012,146.541626
513.200012,148.217010
516.200012,149.890167
519.200012,151.961548
522.200012,154.465332
525.200012,158.708130
528.200012,165.578918
531.200012,169.190552
534.200012,171.254089
537.200012,172.859802
540.200012,174.805054
543.200012,176.368713
546.200012,178.174927
549.200012,180.313232
552.200012,182.884277
555.200012,187.935791
558.200012,196.333191
561.200012,199.012085
564.200012,200.908936
567.200012,202.680603
570.200012,204.144104
573.200012,205.905029
576.200012,207.528015
579.200012,209.355408
582.200012,211.638916
585.200012,214.802673
588.200012,221.616211
591.200012,226.424622
594.200012,228.873108
597.200012,230.824890
600.200012,232.444885
603.200012,234.413391
606.200012,236.277344
609.200012,238.259033
612.200012,240.778564
615.200012,244.988403
618.200012,255.588257
621.200012,258.958252
624.200012,261.081360
627.200012,263.012756
630.200012,264.806458
633.200012,266.661682
636.200012,268.714233
639.200012,270.947693
642.200012,273.923218
645.200012,279.275940
648.200012,286.208374
651.200012,289.292847
654.200012,291.447266
657.200012,293.038391
660.200012,294.914124
663.200012,296.606323
666.200012,298.291016
669.200012,300.396362
672.200012,302.601685
675.200012,305.657898
678.200012,315.999634
681.200012,320.953796
684.200012,323.386658
687.200012,325.420593
690.200012,327.119873
693.200012,329.112061
696.200012,331.185913
699.200012,333.302490
702.200012,336.008423
705.200012,340.876770
708.200012,349.273315
711.200012,353.217773
714.200012,355.538330
717.200012,357.530640
