Reference Angle,Measured Angle,Measured Angle with Zero Correction,Angle Error,Angle Error Fitting,H1,H2,H3,H4,Ph1,Ph2,Ph3,Ph4,Number of points,Corrected Angle Cst + Slope,Angle Error after fit Cst + Slope,Corrected Angle Cst + Slope Lin Search,Angle Error after fit Cst + Slope Lin Search,Corrected Angle Fitted,Angle Error after Fit
360.5,287.182,287.682,-1.98326,3.40766,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,284.278,3.40387,284.278,3.40387,284.278,3.40387
357.5,288.481,288.981,2.31551,3.47494,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,285.509,3.47164,285.509,3.47164,285.509,3.47164
354.5,286.743,287.243,3.57799,3.38486,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,283.862,3.38098,283.862,3.38098,283.862,3.38098
351.5,284.629,285.129,4.46331,3.27422,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,281.858,3.27063,281.858,3.27063,281.858,3.27063
348.5,282.131,282.631,4.9659,3.1417,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,279.491,3.14032,279.491,3.14032,279.491,3.14032
345.5,278.909,279.409,4.74385,2.96668,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,276.449,2.95979,276.449,2.95979,276.449,2.95979
342.5,271.948,272.448,0.782765,2.56647,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,269.888,2.55968,269.888,2.55968,269.888,2.55968
339.5,265.321,265.821,-2.84486,2.1486,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,263.686,2.13489,263.686,2.13489,263.686,2.13489
336.5,262.591,263.091,-2.57399,1.96496,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,261.139,1.95245,261.139,1.95245,261.139,1.95246
333.5,260.524,261.024,-1.64161,1.8215,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,259.21,1.81424,259.21,1.81424,259.21,1.81424
330.5,258.678,259.178,-0.487346,1.69051,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,257.488,1.69031,257.488,1.69031,257.488,1.69031
327.5,256.584,257.084,0.418873,1.53891,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,255.55,1.53447,255.55,1.53447,255.55,1.53447
324.5,254.675,255.175,1.50982,1.3983,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,253.783,1.39237,253.783,1.39237,253.783,1.39237
321.5,252.803,253.303,2.6372,1.25863,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,252.05,1.25299,252.05,1.25299,252.05,1.25299
318.5,250.222,250.722,3.0562,1.06421,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,249.661,1.06088,249.661,1.06088,249.661,1.06088
315.5,245.801,246.301,1.63598,0.730172,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,245.566,0.734926,245.566,0.734926,245.566,0.734926
312.5,235.633,236.133,-5.5326,-0.000223875,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,236.128,0.00514707,236.128,0.00514707,236.128,0.00514691
309.5,231.723,232.223,-6.44197,-0.249326,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,232.446,-0.222917,232.446,-0.222917,232.446,-0.222918
306.5,229.677,230.177,-5.48811,-0.369669,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,230.52,-0.342285,230.52,-0.342285,230.52,-0.342285
303.5,227.806,228.306,-4.35957,-0.473014,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,228.757,-0.451461,228.757,-0.451461,228.757,-0.451461
300.5,225.944,226.444,-3.22135,-0.569089,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,227.004,-0.560075,227.004,-0.560075,227.004,-0.560075
297.5,224.368,224.868,-1.79762,-0.644975,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,225.506,-0.638099,225.506,-0.638099,225.506,-0.638099
294.5,222.478,222.978,-0.686962,-0.729191,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,223.685,-0.706687,223.685,-0.706687,223.685,-0.706687
291.5,220.621,221.121,0.455586,-0.804744,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,221.895,-0.774117,221.895,-0.774117,221.895,-0.774117
288.5,218.483,218.983,1.3174,-0.882875,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,219.835,-0.851737,219.835,-0.851737,219.835,-0.851737
285.5,215.337,215.837,1.17193,-0.981122,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,216.803,-0.965926,216.803,-0.965926,216.803,-0.965926
282.5,210.232,210.732,-0.933299,-1.10216,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,211.817,-1.0846,211.817,-1.0846,211.817,-1.0846
279.5,202.875,203.375,-5.29048,-1.21431,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,204.587,-1.21228,204.587,-1.21228,204.587,-1.21228
276.5,200.028,200.528,-5.13765,-1.24691,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,201.777,-1.24885,201.777,-1.24885,201.777,-1.24885
273.5,198.018,198.518,-4.14753,-1.26908,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,199.791,-1.2733,199.791,-1.2733,199.791,-1.2733
270.5,196.075,196.575,-3.09046,-1.29114,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,197.872,-1.29693,197.872,-1.29693,197.872,-1.29693
267.5,194.178,194.678,-1.98786,-1.31433,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,195.998,-1.32,195.998,-1.32,195.998,-1.32
264.5,192.367,192.867,-0.798595,-1.3389,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,194.209,-1.34202,194.209,-1.34202,194.209,-1.34203
261.5,190.382,190.882,0.216664,-1.36956,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,192.259,-1.37672,192.259,-1.37672,192.259,-1.37672
258.5,188.075,188.575,0.90923,-1.41143,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,190.008,-1.43283,190.008,-1.43283,190.008,-1.43283
255.5,185.141,185.641,0.976033,-1.47648,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,187.146,-1.50417,187.146,-1.50417,187.146,-1.50417
252.5,176.153,176.653,-5.01219,-1.77988,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,178.464,-1.81047,178.464,-1.81047,178.464,-1.81047
249.5,170.129,170.629,-8.03608,-2.08016,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,172.724,-2.0943,172.724,-2.0943,172.724,-2.0943
246.5,167.656,168.156,-7.50972,-2.22454,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,170.388,-2.23184,170.388,-2.23184,170.388,-2.23184
243.5,165.579,166.079,-6.58686,-2.35389,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,168.448,-2.36956,168.448,-2.36956,168.448,-2.36956
240.5,163.889,164.389,-5.27644,-2.46383,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,166.871,-2.48158,166.871,-2.48158,166.871,-2.48158
237.5,162.014,162.514,-4.15116,-2.58992,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,165.12,-2.60588,165.12,-2.60588,165.12,-2.60588
234.5,160.18,160.68,-2.98494,-2.71651,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,163.408,-2.72746,163.408,-2.72746,163.408,-2.72746
231.5,158.269,158.769,-1.89613,-2.85075,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,161.623,-2.85418,161.623,-2.85418,161.623,-2.85418
228.5,155.741,156.241,-1.42469,-3.02989,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,159.265,-3.02423,159.265,-3.02423,159.265,-3.02423
225.5,151.628,152.128,-2.53773,-3.31757,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,155.43,-3.30254,155.43,-3.30254,155.43,-3.30254
222.5,144.849,145.349,-6.31605,-3.74881,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,149.079,-3.72982,149.079,-3.72982,149.079,-3.72982
219.5,140.821,141.321,-7.3448,-3.95899,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,145.233,-3.91214,145.233,-3.91214,145.233,-3.91214
216.5,138.771,139.271,-6.39473,-4.0481,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,143.276,-4.00491,143.276,-4.00491,143.276,-4.00491
213.5,136.9,137.4,-5.26557,-4.11752,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,141.489,-4.08958,141.489,-4.08958,141.489,-4.08958
210.5,135.299,135.799,-3.86659,-4.16729,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,139.961,-4.16204,139.961,-4.16204,139.961,-4.16204
207.5,133.701,134.201,-2.46418,-4.20766,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,138.384,-4.18257,138.384,-4.18257,138.384,-4.18257
204.5,132.016,132.516,-1.14924,-4.23979,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,136.708,-4.19165,136.708,-4.19165,136.708,-4.19165
201.5,130.397,130.897,0.23119,-4.26032,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,135.097,-4.20039,135.097,-4.20039,135.097,-4.20039
198.5,128.283,128.783,1.11776,-4.27157,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,132.995,-4.21179,132.995,-4.21179,132.995,-4.21179
195.5,125.573,126.073,1.40722,-4.26012,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,130.299,-4.2264,130.299,-4.2264,130.299,-4.2264
192.5,119.95,120.45,-1.21574,-4.14617,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,124.549,-4.09924,124.549,-4.09924,124.549,-4.09924
189.5,111.877,112.377,-6.28868,-3.79738,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,116.169,-3.79212,116.169,-3.79212,116.169,-3.79212
186.5,109.443,109.943,-5.72261,-3.6593,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,113.584,-3.64146,113.584,-3.64146,113.584,-3.64146
183.5,107.664,108.164,-4.50099,-3.55158,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,111.696,-3.53138,111.696,-3.53138,111.696,-3.53138
180.5,105.76,106.26,-3.40559,-3.43127,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,109.673,-3.41348,109.673,-3.41348,109.673,-3.41348
177.5,104.165,104.665,-2.00001,-3.32766,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,107.98,-3.31479,107.98,-3.31479,107.98,-3.31479
174.5,102.457,102.957,-0.708354,-3.21474,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,106.166,-3.20904,106.166,-3.20904,106.166,-3.20904
171.5,100.419,100.919,0.25359,-3.07889,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,104.001,-3.08195,104.001,-3.08195,104.001,-3.08195
168.5,98.3156,98.8156,1.1502,-2.93914,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,101.765,-2.94936,101.765,-2.94936,101.765,-2.94936
165.5,95.3265,95.8265,1.16112,-2.74494,3.93306,0.748265,0.563921,0.467333,-1.06956,-1.06956,-1.06956,-1.06956,121,98.5875,-2.76096,98.5875,-2.76096,98.5875,-2.76096
